Year,Year_Intake,University,School,Faculty,A Level Grade,A Level Grade Point,Diploma
2009/2010,2009,Nanyang Technological University,College of Engineering,Mechanical Engineering,BCC/B,71.25,3.32
2008/2009,2008,Nanyang Technological University,College of Engineering,Mechanical Engineering,BCC/C,70,3.24
2019/2020,2019,Nanyang Technological University,College of Science,Biological Sciences,AAB/B,81.25,3.71
2018/2019,2018,Nanyang Technological University,College of Science,Biological Sciences,AAB/B,81.25,3.79
2017/2018,2017,Nanyang Technological University,College of Science,Biological Sciences,AAC/C,77.5,3.78
2016/2017,2016,Nanyang Technological University,College of Science,Biological Sciences,ABC/C,75,3.68
2015/2016,2015,Nanyang Technological University,College of Science,Biological Sciences,ABC/D,73.75,3.54
2014/2015,2014,Nanyang Technological University,College of Science,Biological Sciences,BBC/C,72.5,3.58
2013/2014,2013,Nanyang Technological University,College of Science,Biological Sciences,BBC/B,73.75,3.37
2012/2013,2012,Nanyang Technological University,College of Science,Biological Sciences,BBC/B,73.75,3.49
2011/2012,2011,Nanyang Technological University,College of Science,Biological Sciences,BBC/B,73.75,3.37
2010/2011,2010,Nanyang Technological University,College of Science,Biological Sciences,BBB/B,76.25,3.35
2009/2010,2009,Nanyang Technological University,College of Science,Biological Sciences,BBC/B,73.75,3.29
2008/2009,2008,Nanyang Technological University,College of Science,Biological Sciences,BBC/C,72.5,3.32
2019/2020,2019,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,BBC/B,73.75,3.49
2018/2019,2018,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,ABC/C,75,3.66
2017/2018,2017,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,BBC/B,73.75,3.58
2016/2017,2016,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,BCC/C,70,3.5
2015/2016,2015,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,BBC/D,71.25,3.46
2014/2015,2014,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,BCC/C,70,3.57
2013/2014,2013,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,CCC/B,68.75,3.27
2012/2013,2012,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,BCC/B,71.25,3.3
2011/2012,2011,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,BBB/B,76.25,3.33
2010/2011,2010,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,ABB/B,78.75,3.39
2009/2010,2009,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,BBB/B,76.25,3.33
2008/2009,2008,Nanyang Technological University,College of Science,Chemistry & Biological Chemistry,BBB/C,75,3.4
2019/2020,2019,Nanyang Technological University,College of Science,Environmental Earth Systems Science,AAA/B,83.75,No Data
2018/2019,2018,Nanyang Technological University,College of Science,Environmental Earth Systems Science,AAA/A,85,No Data
2017/2018,2017,Nanyang Technological University,College of Science,Environmental Earth Systems Science,AAA/B,83.75,No Data
2016/2017,2016,Nanyang Technological University,College of Science,Environmental Earth Systems Science,AAA/A,85,No Data
2015/2016,2015,Nanyang Technological University,College of Science,Environmental Earth Systems Science,AAA/B,83.75,No Data
2014/2015,2014,Nanyang Technological University,College of Science,Environmental Earth Systems Science,AAB/B,81.25,No Data
2013/2014,2013,Nanyang Technological University,College of Science,Environmental Earth Systems Science,No Data,No Data,No Data
2012/2013,2012,Nanyang Technological University,College of Science,Environmental Earth Systems Science,No Data,No Data,No Data
2011/2012,2011,Nanyang Technological University,College of Science,Environmental Earth Systems Science,No Data,No Data,No Data
2010/2011,2010,Nanyang Technological University,College of Science,Environmental Earth Systems Science,No Data,No Data,No Data
2009/2010,2009,Nanyang Technological University,College of Science,Environmental Earth Systems Science,No Data,No Data,No Data
2008/2009,2008,Nanyang Technological University,College of Science,Environmental Earth Systems Science,No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,College of Science,Mathematical Sciences,BCC/B,73.75,No Data
2018/2019,2018,Nanyang Technological University,College of Science,Mathematical Sciences,BBC/B,73.75,No Data
2017/2018,2017,Nanyang Technological University,College of Science,Mathematical Sciences,BBC/C,72.5,3.6
2016/2017,2016,Nanyang Technological University,College of Science,Mathematical Sciences,BCC/D,68.75,3.55
2015/2016,2015,Nanyang Technological University,College of Science,Mathematical Sciences,BBC/D,71.25,3.56
2014/2015,2014,Nanyang Technological University,College of Science,Mathematical Sciences,BBC/D,71.25,3.6
2013/2014,2013,Nanyang Technological University,College of Science,Mathematical Sciences,CCC/B,68.75,3.52
2012/2013,2012,Nanyang Technological University,College of Science,Mathematical Sciences,BBC/B,73.75,No Data
2011/2012,2011,Nanyang Technological University,College of Science,Mathematical Sciences,BBB/B,76.25,3.54
2010/2011,2010,Nanyang Technological University,College of Science,Mathematical Sciences,BBB/B,76.25,3.36
2009/2010,2009,Nanyang Technological University,College of Science,Mathematical Sciences,BBB/B,76.25,No Data
2008/2009,2008,Nanyang Technological University,College of Science,Mathematical Sciences,BBB/B,76.25,No Data
2019/2020,2019,Nanyang Technological University,College of Science,Mathematics & Economics,No Data,No Data,No Data
2018/2019,2018,Nanyang Technological University,College of Science,Mathematics & Economics,No Data,No Data,No Data
2017/2018,2017,Nanyang Technological University,College of Science,Mathematics & Economics,AAB/B,81.25,No Data
2016/2017,2016,Nanyang Technological University,College of Science,Mathematics & Economics,BCC/B,71.25,No Data
2015/2016,2015,Nanyang Technological University,College of Science,Mathematics & Economics,ABC/D,73.75,No Data
2014/2015,2014,Nanyang Technological University,College of Science,Mathematics & Economics,ABC/D,73.75,No Data
2013/2014,2013,Nanyang Technological University,College of Science,Mathematics & Economics,BBB/C,75,No Data
2012/2013,2012,Nanyang Technological University,College of Science,Mathematics & Economics,BBB/B,76.25,No Data
2011/2012,2011,Nanyang Technological University,College of Science,Mathematics & Economics,ABB/B,78.75,No Data
2010/2011,2010,Nanyang Technological University,College of Science,Mathematics & Economics,ABB/B,78.75,No Data
2009/2010,2009,Nanyang Technological University,College of Science,Mathematics & Economics,ABB/B,78.75,No Data
2008/2009,2008,Nanyang Technological University,College of Science,Mathematics & Economics,ABB/B,78.75,No Data
2019/2020,2019,Nanyang Technological University,College of Science,Physics / Applied Physics,BCC/C,70,3.52
2018/2019,2018,Nanyang Technological University,College of Science,Physics / Applied Physics,BCC/B,71.25,3.52
2017/2018,2017,Nanyang Technological University,College of Science,Physics / Applied Physics,BCC/B,71.25,3.48
2016/2017,2016,Nanyang Technological University,College of Science,Physics / Applied Physics,CCC/D,66.25,3.44
2015/2016,2015,Nanyang Technological University,College of Science,Physics / Applied Physics,CCD/D,63.75,3.47
2014/2015,2014,Nanyang Technological University,College of Science,Physics / Applied Physics,CCD/C,65,3.34
2013/2014,2013,Nanyang Technological University,College of Science,Physics / Applied Physics,CDD/C,62.5,3.35
2012/2013,2012,Nanyang Technological University,College of Science,Physics / Applied Physics,CCC/C,67.5,3.34
2011/2012,2011,Nanyang Technological University,College of Science,Physics / Applied Physics,BCC/C,70,3.32
2010/2011,2010,Nanyang Technological University,College of Science,Physics / Applied Physics,BBB/C,75,3.2
2009/2010,2009,Nanyang Technological University,College of Science,Physics / Applied Physics,BBB/C,75,3.27
2008/2009,2008,Nanyang Technological University,College of Science,Physics / Applied Physics,CCC/B,68.75,3.28
2019/2020,2019,Nanyang Technological University,Nanyang Business School,Accountancy,ABC/B,76.25,3.63
2018/2019,2018,Nanyang Technological University,Nanyang Business School,Accountancy,AAC/B,78.75,3.71
2017/2018,2017,Nanyang Technological University,Nanyang Business School,Accountancy,AAB/B,81.25,3.73
2016/2017,2016,Nanyang Technological University,Nanyang Business School,Accountancy,AAB/B,81.25,3.8
2015/2016,2015,Nanyang Technological University,Nanyang Business School,Accountancy,AAA/C,82.5,3.78
2014/2015,2014,Nanyang Technological University,Nanyang Business School,Accountancy,AAA/C,82.5,3.78
2013/2014,2013,Nanyang Technological University,Nanyang Business School,Accountancy,AAB/A,82.5,3.79
2012/2013,2012,Nanyang Technological University,Nanyang Business School,Accountancy,AAA/B,83.75,3.78
2011/2012,2011,Nanyang Technological University,Nanyang Business School,Accountancy,AAA/B,83.75,3.73
2010/2011,2010,Nanyang Technological University,Nanyang Business School,Accountancy,AAB/A,82.5,3.65
2009/2010,2009,Nanyang Technological University,Nanyang Business School,Accountancy,AAA/B,83.75,3.69
2008/2009,2008,Nanyang Technological University,Nanyang Business School,Accountancy,AAB/B,81.25,3.71
2019/2020,2019,Nanyang Technological University,Nanyang Business School,Business,ABC/C,75,3.62
2018/2019,2018,Nanyang Technological University,Nanyang Business School,Business,AAC/C,77.5,3.73
2017/2018,2017,Nanyang Technological University,Nanyang Business School,Business,AAB/C,80,3.75
2016/2017,2016,Nanyang Technological University,Nanyang Business School,Business,AAB/C,80,3.81
2015/2016,2015,Nanyang Technological University,Nanyang Business School,Business,AAC/B,78.75,3.8
2014/2015,2014,Nanyang Technological University,Nanyang Business School,Business,AAB/B,81.25,3.79
2013/2014,2013,Nanyang Technological University,Nanyang Business School,Business,AAB/C,80,3.8
2012/2013,2012,Nanyang Technological University,Nanyang Business School,Business,AAB/B,81.25,3.74
2011/2012,2011,Nanyang Technological University,Nanyang Business School,Business,AAB/B,81.25,3.73
2010/2011,2010,Nanyang Technological University,Nanyang Business School,Business,AAB/B,81.25,3.64
2009/2010,2009,Nanyang Technological University,Nanyang Business School,Business,AAA/B,83.75,3.62
2008/2009,2008,Nanyang Technological University,Nanyang Business School,Business,ABB/B,78.75,3.63
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CCD/C,65,3.3
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CCD/C,65,3.26
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CCD/D,63.75,3.28
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CCD/C,65,3.23
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CCD/C,65,3.23
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CDD/C,62.5,3.32
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CDD/C,62.5,3.16
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CCD/D,63.75,3.16
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CCC/C,67.5,3.15
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CDD/C,62.5,3.11
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",CDD/C,62.5,3.04
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences","Art, Design & Media",DDD/D,58.75,2.58
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,BBC/C,72.5,3.41
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,BCC/C,70,3.44
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,BCC/C,70,3.44
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,BCC/C,70,3.46
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,BCC/D,68.75,3.37
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,BCC/C,70,3.48
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,BCC/C,70,3.43
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,CCC/D,66.25,3.43
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,CCC/B,68.75,3.45
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,BCC/B,71.25,3.35
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,CCC/C,67.5,3.29
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Chinese,CCC/C,67.5,3.37
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,AAA/B,83.75,3.68
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,AAB/B,81.25,No Data
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,AAC/B,78.75,3.72
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,AAC/C,77.5,3.71
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,ABC/B,76.25,3.74
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,ABC/B,76.25,3.79
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,ABC/C,75,3.68
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,ABC/B,76.25,3.64
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,ABB/B,78.75,3.37
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,ABB/B,78.75,3.58
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,ABB/B,78.75,3.4
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Communication Studies,BBB/C,75,3.21
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,BBC/B,73.75,3.51
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,ABC/C,75,3.57
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,ABC/C,75,3.61
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,ABC/C,75,3.69
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,ABC/C,75,3.63
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,ABC/C,75,3.71
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,BBB/C,75,3.6
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,BBC/B,73.75,3.68
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,BBB/C,75,3.61
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,BBB/C,75,3.55
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,BBB/B,76.25,3.52
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Economics,ABB/B,78.75,3.48
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BBC/C,72.5,3.39
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BBC/C,72.5,3.39
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BBC/C,72.5,3.33
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BCC/C,70,3.35
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BCC/C,70,3.32
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BCC/B,71.25,3.34
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BCC/C,70,3.38
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BCC/C,70,3.4
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BCC/B,71.25,No Data
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BCC/B,71.25,No Data
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,BCC/C,70,No Data
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",English,CCC/C,67.5,No Data
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,BBC/B,73.75,No Data
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,BCC/C,70,3.49
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,BCC/B,71.25,3.45
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,BCC/C,70,3.41
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,BCC/B,71.25,3.38
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,BCC/B,71.25,No Data
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,CCC/B,68.75,No Data
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,BCC/C,70,No Data
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,No Data,No Data,No Data
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,No Data,No Data,No Data
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,No Data,No Data,No Data
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",History,No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BCC/B,71.25,3.38
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,ABC/C,75,3.52
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BBC/B,73.75,3.53
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BBC/C,72.5,3.53
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BBC/B,73.75,3.44
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BBC/C,72.5,3.49
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BBC/C,72.5,No Data
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BBC/C,72.5,No Data
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BBC/B,73.75,No Data
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BBC/C,72.5,No Data
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BCC/C,70,No Data
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Linguistics & Multilingual Studies,BCC/C,70,No Data
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,BCC/C,70,3.31
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,BCC/B,71.25,No Data
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,BCC/B,71.25,No Data
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,BCC/B,71.25,No Data
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,BCC/B,71.25,3.48
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,BCC/C,70,3.48
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,No Data,No Data,No Data
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,No Data,No Data,No Data
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,No Data,No Data,No Data
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,No Data,No Data,No Data
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,No Data,No Data,No Data
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Philosophy,No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,ABC/C,75,3.67
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,AAC/C,77.5,3.68
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,AAC/C,77.5,3.74
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,ABC/B,76.25,3.69
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,ABC/B,76.25,3.71
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,ABC/C,75,3.81
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,BBC/B,73.75,3.69
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,BBB/C,75,3.63
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,BBB/C,75,3.67
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,BBB/B,76.25,3.69
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,BBC/A,75,3.32
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Psychology,BBB/B,76.25,3.49
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,ABC/C,75,3.56
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,ABC/C,75,3.67
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,BBC/B,73.75,3.63
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,BBC/C,72.5,3.64
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,ABC/C,75,3.62
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,ABC/C,75,3.63
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,BBC/B,73.75,3.46
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,No Data,No Data,No Data
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,No Data,No Data,No Data
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,No Data,No Data,No Data
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,No Data,No Data,No Data
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Public Policy & Global Affairs,No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BBC/C,72.5,3.47
2018/2019,2018,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BBC/C,72.5,3.56
2017/2018,2017,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BBC/B,73.75,3.58
2016/2017,2016,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BBC/B,73.75,3.64
2015/2016,2015,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BCC/B,71.25,3.58
2014/2015,2014,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BBC/C,72.5,3.47
2013/2014,2013,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BBC/C,72.5,3.5
2012/2013,2012,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BCC/B,71.25,3.58
2011/2012,2011,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BBC/B,73.75,3.49
2010/2011,2010,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BBB/C,75,3.5
2009/2010,2009,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,CCC/B,68.75,3.33
2008/2009,2008,Nanyang Technological University,"College of Humanities, Arts, & Social Sciences",Sociology,BCC/B,71.25,3.39
2019/2020,2019,Nanyang Technological University,Sport Science & Management,Sport Science & Management,BCC/B,71.25,3.54
2018/2019,2018,Nanyang Technological University,Sport Science & Management,Sport Science & Management,BBC/C,72.5,3.58
2017/2018,2017,Nanyang Technological University,Sport Science & Management,Sport Science & Management,BBC/B,73.75,3.67
2016/2017,2016,Nanyang Technological University,Sport Science & Management,Sport Science & Management,BBC/B,73.75,3.61
2015/2016,2015,Nanyang Technological University,Sport Science & Management,Sport Science & Management,ABC/C,75,3.64
2014/2015,2014,Nanyang Technological University,Sport Science & Management,Sport Science & Management,ABC/D,73.75,3.68
2013/2014,2013,Nanyang Technological University,Sport Science & Management,Sport Science & Management,BBC/C,72.5,3.58
2012/2013,2012,Nanyang Technological University,Sport Science & Management,Sport Science & Management,BBC/C,72.5,3.46
2011/2012,2011,Nanyang Technological University,Sport Science & Management,Sport Science & Management,BBB/C,75,No Data
2010/2011,2010,Nanyang Technological University,Sport Science & Management,Sport Science & Management,BBC/A,75,3.53
2009/2010,2009,Nanyang Technological University,Sport Science & Management,Sport Science & Management,AAB/C,80,3.41
2008/2009,2008,Nanyang Technological University,Sport Science & Management,Sport Science & Management,No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,National Institute of Education,Arts (Education),ABC/B,76.25,No Data
2018/2019,2018,Nanyang Technological University,National Institute of Education,Arts (Education),BBC/B,73.75,No Data
2017/2018,2017,Nanyang Technological University,National Institute of Education,Arts (Education),ABC/B,76.25,No Data
2016/2017,2016,Nanyang Technological University,National Institute of Education,Arts (Education),ABC/B,76.25,3.59
2015/2016,2015,Nanyang Technological University,National Institute of Education,Arts (Education),ABC/D,73.75,No Data
2014/2015,2014,Nanyang Technological University,National Institute of Education,Arts (Education),No Data,No Data,No Data
2013/2014,2013,Nanyang Technological University,National Institute of Education,Arts (Education),BCD/B,68.75,3.48
2012/2013,2012,Nanyang Technological University,National Institute of Education,Arts (Education),BBC/C,72.5,3.21
2011/2012,2011,Nanyang Technological University,National Institute of Education,Arts (Education),No Data,No Data,No Data
2010/2011,2010,Nanyang Technological University,National Institute of Education,Arts (Education),No Data,No Data,No Data
2009/2010,2009,Nanyang Technological University,National Institute of Education,Arts (Education),No Data,No Data,No Data
2008/2009,2008,Nanyang Technological University,National Institute of Education,Arts (Education),No Data,No Data,No Data
2019/2020,2019,Nanyang Technological University,National Institute of Education,Science (Education),AAB/B,81.25,No Data
2018/2019,2018,Nanyang Technological University,National Institute of Education,Science (Education),AAB/C,80,No Data
2017/2018,2017,Nanyang Technological University,National Institute of Education,Science (Education),AAC/C,77.5,No Data
2016/2017,2016,Nanyang Technological University,National Institute of Education,Science (Education),AAC/C,77.5,3.78
2015/2016,2015,Nanyang Technological University,National Institute of Education,Science (Education),AAC/C,77.5,No Data
2014/2015,2014,Nanyang Technological University,National Institute of Education,Science (Education),No Data,No Data,No Data
2013/2014,2013,Nanyang Technological University,National Institute of Education,Science (Education),ABC/C,75,3.37
