Year,Year_Intake,University,School,Faculty,A Level Grade,A Level Grade Point,Diploma
2009/2010,2009,National University of Singapore,Faculty of Engineering,Engineering,ABB/B,78.75,No Data
2008/2009,2008,National University of Singapore,Faculty of Engineering,Engineering,BBB/A,77.5,No Data
2019/2020,2019,National University of Singapore,Faculty of Engineering,Biomedical Engineering,BBC/B,73.75,3.71
2018/2019,2018,National University of Singapore,Faculty of Engineering,Biomedical Engineering,BCC/B,71.25,3.73
2017/2018,2017,National University of Singapore,Faculty of Engineering,Biomedical Engineering,BBB/B,76.25,3.87
2016/2017,2016,National University of Singapore,Faculty of Engineering,Biomedical Engineering,ABB/C,77.5,3.82
2015/2016,2015,National University of Singapore,Faculty of Engineering,Biomedical Engineering,BBB/C,75,3.82
2014/2015,2014,National University of Singapore,Faculty of Engineering,Biomedical Engineering,BBC/C,72.5,3.74
2013/2014,2013,National University of Singapore,Faculty of Engineering,Biomedical Engineering,BCC/B,71.25,3.79
2012/2013,2012,National University of Singapore,Faculty of Engineering,Biomedical Engineering,ABB/C,77.5,3.76
2011/2012,2011,National University of Singapore,Faculty of Engineering,Biomedical Engineering,AAB/C,80,3.7
2010/2011,2010,National University of Singapore,Faculty of Engineering,Biomedical Engineering,ABB/B,78.75,No Data
2009/2010,2009,National University of Singapore,Faculty of Engineering,Biomedical Engineering,AAB/C,80,No Data
2008/2009,2008,National University of Singapore,Faculty of Engineering,Biomedical Engineering,ABB/A,80,No Data
2019/2020,2019,National University of Singapore,Faculty of Engineering,Chemical Engineering,BBC/B,73.75,3.65
2018/2019,2018,National University of Singapore,Faculty of Engineering,Chemical Engineering,BBC/B,73.75,3.66
2017/2018,2017,National University of Singapore,Faculty of Engineering,Chemical Engineering,ABB/C,77.5,3.87
2016/2017,2016,National University of Singapore,Faculty of Engineering,Chemical Engineering,AAA/B,83.75,3.86
2015/2016,2015,National University of Singapore,Faculty of Engineering,Chemical Engineering,AAB/B,81.25,3.87
2014/2015,2014,National University of Singapore,Faculty of Engineering,Chemical Engineering,AAA/B,83.75,3.87
2013/2014,2013,National University of Singapore,Faculty of Engineering,Chemical Engineering,AAB/C,80,3.88
2012/2013,2012,National University of Singapore,Faculty of Engineering,Chemical Engineering,AAA/B,83.75,3.92
2011/2012,2011,National University of Singapore,Faculty of Engineering,Chemical Engineering,AAA/A,85,3.69
2010/2011,2010,National University of Singapore,Faculty of Engineering,Chemical Engineering,AAA/B,83.75,3.9
2009/2010,2009,National University of Singapore,Faculty of Engineering,Chemical Engineering,AAA/A,85,3.87
2008/2009,2008,National University of Singapore,Faculty of Engineering,Chemical Engineering,AAA/A,85,3.88
2019/2020,2019,National University of Singapore,Faculty of Engineering,Civil Engineering,CCD/B,66.25,3.71
2018/2019,2018,National University of Singapore,Faculty of Engineering,Civil Engineering,BBC/C,72.5,3.65
2017/2018,2017,National University of Singapore,Faculty of Engineering,Civil Engineering,BBB/C,75,3.72
2016/2017,2016,National University of Singapore,Faculty of Engineering,Civil Engineering,BBB/B,76.25,3.7
2015/2016,2015,National University of Singapore,Faculty of Engineering,Civil Engineering,BBC/B,73.75,3.72
2014/2015,2014,National University of Singapore,Faculty of Engineering,Civil Engineering,BBC/B,73.75,3.75
2013/2014,2013,National University of Singapore,Faculty of Engineering,Civil Engineering,BBC/C,72.5,3.74
2012/2013,2012,National University of Singapore,Faculty of Engineering,Civil Engineering,BBC/B,73.75,3.81
2011/2012,2011,National University of Singapore,Faculty of Engineering,Civil Engineering,BBB/B,76.25,3.7
2010/2011,2010,National University of Singapore,Faculty of Engineering,Civil Engineering,BBB/C,75,3.55
2009/2010,2009,National University of Singapore,Faculty of Engineering,Civil Engineering,BBB/B,76.25,3.51
2008/2009,2008,National University of Singapore,Faculty of Engineering,Civil Engineering,BBC/C,72.5,3.26
2019/2020,2019,National University of Singapore,Faculty of Engineering,Electrical Engineering,CCC/C,67.5,3.68
2018/2019,2018,National University of Singapore,Faculty of Engineering,Electrical Engineering,BCC/B,71.25,3.69
